Подача и захват бумаги;FB4-9817-030;FB4-9817-030 - Ролик захвата бумаги;['Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F'];E:\Projects\PycharmProjects\parser_profit\images\canon\FB4-9817-030.jpg
Подача и захват бумаги;RB1-8865-000CN;HP | RB1-8865-000CN - Ролик захвата бумаги;['Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F', 'Canon LaserBase MF6530', 'Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F', 'Canon LaserBase MF6530', 'Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F'];
Подача и захват бумаги;FF6-1621-000;FF6-1621-000 - Ролик отделения бумаги;['Canon imageRUNNER 1600', 'Canon imageRUNNER 2000', 'Canon iR2016J', 'Canon imageRUNNER 1600F', 'Canon imageRUNNER 2000F', 'Canon iR2016i', 'Canon imageRUNNER 1600FL', 'Canon imageRUNNER 2000FL', 'Canon iR2020', 'Canon imageRUNNER 1600L', 'Canon imageRUNNER 2000L', 'Canon iR2020J', 'Canon imageRUNNER 1610', 'Canon imageRUNNER 2010', 'Canon iR2020S', 'Canon imageRUNNER 1610F', 'Canon imageRUNNER 2010F', 'Canon iR2020i', 'Canon imageRUNNER 1610FL', 'Canon imageRUNNER 2010FL'];E:\Projects\PycharmProjects\parser_profit\images\canon\FF6-1621-000.jpg
Подача и захват бумаги;FF6-1621-000 / RF5-2634-000;CET | FF6-1621-000 / RF5-2634-000 - (CET0527) Ролик подачи бумаги из кассеты;['Canon imageRUNNER 2000F', 'HP LaserJet 5000dn', 'Canon imageRUNNER 1600F', 'Canon imageRUNNER 2000FL', 'HP LaserJet 5000gn', 'Canon imageRUNNER 1600FL', 'Canon imageRUNNER 2000L', 'HP LaserJet 5000n', 'Canon imageRUNNER 1600L', 'Canon imageRUNNER 2010', 'HP LaserJet 5100', 'Canon imageRUNNER 1610', 'Canon imageRUNNER 2010F', 'HP LaserJet 5100Le', 'Canon imageRUNNER 1610F', 'Canon imageRUNNER 2010FL', 'HP LaserJet 5100dtn', 'Canon imageRUNNER 1610FL', 'HP LaserJet 5000', 'HP LaserJet 5100se', 'Canon imageRUNNER 2000', 'HP LaserJet 5000Le', 'HP LaserJet 5100tn', 'Canon imageRUNNER 1600', 'Canon imageRUNNER 2000F', 'HP LaserJet 5000dn', 'Canon imageRUNNER 1600F', 'Canon imageRUNNER 2000FL', 'HP LaserJet 5000gn', 'Canon imageRUNNER 1600FL', 'Canon imageRUNNER 2000L', 'HP LaserJet 5000n', 'Canon imageRUNNER 1600L', 'Canon imageRUNNER 2010', 'HP LaserJet 5100', 'Canon imageRUNNER 1610', 'Canon imageRUNNER 2010F', 'HP LaserJet 5100Le', 'Canon imageRUNNER 1610F', 'Canon imageRUNNER 2010FL', 'HP LaserJet 5100dtn', 'Canon imageRUNNER 1610FL', 'HP LaserJet 5000', 'HP LaserJet 5100se', 'Canon imageRUNNER 2000', 'HP LaserJet 5000Le', 'HP LaserJet 5100tn', 'Canon imageRUNNER 1600', 'Canon imageRUNNER 2000F', 'HP LaserJet 5000dn', 'Canon imageRUNNER 1600F', 'Canon imageRUNNER 2000FL', 'HP LaserJet 5000gn', 'Canon imageRUNNER 1600FL', 'Canon imageRUNNER 2000L', 'HP LaserJet 5000n', 'Canon imageRUNNER 1600L', 'Canon imageRUNNER 2010', 'HP LaserJet 5100', 'Canon imageRUNNER 1610', 'Canon imageRUNNER 2010F', 'HP LaserJet 5100Le', 'Canon imageRUNNER 1610F', 'Canon imageRUNNER 2010FL', 'HP LaserJet 5100dtn', 'Canon imageRUNNER 1610FL', 'HP LaserJet 5000', 'HP LaserJet 5100se', 'Canon imageRUNNER 2000', 'HP LaserJet 5000Le', 'HP LaserJet 5100tn'];
Узел переноса;FM3-3671-010;FM3-3671-010 - Блок проявки, в сборе;['Canon iR2020', 'Canon iR2020i', 'Canon iR2016J', 'Canon iR2020J', 'Canon iR2016i', 'Canon iR2020S'];E:\Projects\PycharmProjects\parser_profit\images\canon\FM3-3671-010.jpg
Узел термозакрепления;FM2-3352-000;FM2-3352-000 - Печь, в сборе (220В);['Canon iR2020', 'Canon iR2020i', 'Canon iR2016J', 'Canon iR2020J', 'Canon iR2016i', 'Canon iR2020S'];
Узел термозакрепления;FM2-3353-FILM;FM2-3353-FILM - Термоплёнка;['Canon iR2020', 'Canon iR2020i', 'Canon iR2016J', 'Canon iR2020J', 'Canon iR2016i', 'Canon iR2020S'];
Узел термозакрепления;FM2-3353-000;FM2-3353-000 - Узел термозакрепления (220В);['Canon iR2020', 'Canon iR2020i', 'Canon iR2016J', 'Canon iR2020J', 'Canon iR2016i', 'Canon iR2020S'];
Узел термозакрепления;FC6-4453-000;FC6-4453-000 - Прижимной вал;['Canon iR2020S', 'Canon iR2420', 'Canon iR2016J', 'Canon iR2020i', 'Canon iR2420L', 'Canon iR2016i', 'Canon iR2318', 'Canon iR2422', 'Canon iR2020', 'Canon iR2318L', 'Canon iR2020J', 'Canon iR2320'];E:\Projects\PycharmProjects\parser_profit\images\canon\FC6-4453-000.jpg
Узел термозакрепления;FC6-4453-000;CET | FC6-4453-000 - (CET3265) Прижимной вал;['Canon iR2020S', 'Canon iR2420', 'Canon iR2016J', 'Canon iR2020i', 'Canon iR2420L', 'Canon iR2016i', 'Canon iR2318', 'Canon iR2422', 'Canon iR2020', 'Canon iR2318L', 'Canon iR2020J', 'Canon iR2320'];E:\Projects\PycharmProjects\parser_profit\images\canon\FC6-4453-000.jpg
