Узел автоматической подачи оригиналов;CB414-67903;CB414-67903 - Лоток подачи автоподатчика документов;['HP LaserJet M3035 MFP', 'HP LaserJet M3027x MFP', 'HP LaserJet M3035xs MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\CB414-67903.jpg
Узел автоматической подачи оригиналов;CB414-67918;"CB414-67918 - Комплект из узла захвата / подачи бумаги и площадки отделения в автоподатчике документов
---
Состав:
CC334-60068 - Узел захвата (1)
Q2665-60125 - Площадка отделения (1)
---";['HP LaserJet 3320', 'HP LaserJet M3027x MFP', 'HP Color LaserJet CM3530fs MFP', 'HP LaserJet 3320n', 'HP LaserJet M3035 MFP', 'HP LaserJet 3020', 'HP LaserJet 3330', 'HP LaserJet M3035xs MFP', 'HP LaserJet 3030', 'HP LaserJet 3380', 'HP LaserJet 3310', 'HP LaserJet M3027 MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\CB414-67918.jpg
Узел автоматической подачи оригиналов;CB414-67918;"CN | CB414-67918 - Комплект для обслуживания автоподатчика документов (Включает: узел захвата бумаги; площадку отделения бумаги)";['HP LaserJet 3320', 'HP LaserJet M3027x MFP', 'HP Color LaserJet CM3530fs MFP', 'HP LaserJet 3320n', 'HP LaserJet M3035 MFP', 'HP LaserJet 3020', 'HP LaserJet 3330', 'HP LaserJet M3035xs MFP', 'HP LaserJet 3030', 'HP LaserJet 3380', 'HP LaserJet 3310', 'HP LaserJet M3027 MFP', 'HP Color LaserJet CM3530 MFP', 'HP LaserJet 3320', 'HP LaserJet M3027x MFP', 'HP Color LaserJet CM3530fs MFP', 'HP LaserJet 3320n', 'HP LaserJet M3035 MFP', 'HP LaserJet 3020', 'HP LaserJet 3330', 'HP LaserJet M3035xs MFP', 'HP LaserJet 3030', 'HP LaserJet 3380', 'HP LaserJet 3310', 'HP LaserJet M3027 MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\CB414-67918.jpg
Узел автоматической подачи оригиналов;CB414-67928;CB414-67928 - Автоподатчик документов, в сборе;['HP LaserJet M3035 MFP', 'HP LaserJet M3027x MFP', 'HP LaserJet M3035xs MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\CB414-67928.jpg
Узел автоматической подачи оригиналов;CC334-60068;CC334-60068 - Узел захвата бумаги из автоподатчика документов, в сборе (основание);['HP LaserJet 3310', 'HP LaserJet M3027 MFP', 'HP Color LaserJet CM3530 MFP', 'HP LaserJet 3320', 'HP LaserJet M3027x MFP', 'HP Color LaserJet CM3530fs MFP', 'HP LaserJet 3320n', 'HP LaserJet M3035 MFP', 'HP LaserJet 3020', 'HP LaserJet 3330', 'HP LaserJet M3035xs MFP', 'HP LaserJet 3030', 'HP LaserJet 3380'];E:\Projects\PycharmProjects\parser_profit\images\hp\CC334-60068.jpg
Узел автоматической подачи оригиналов;Q2665-60125;Q2665-60125 - Площадка отделения бумаги из автоподатчика документов, в сборе;['HP LaserJet 3052', 'HP LaserJet M1522nf MFP', 'HP Color LaserJet 2840', 'HP LaserJet 3055', 'HP LaserJet M2727nf', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet 3310', 'HP LaserJet M2727nfs', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet 3320', 'HP LaserJet M3027 MFP', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet 3320n', 'HP LaserJet M3027x MFP', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet 3330', 'HP LaserJet M3035 MFP', 'HP Color LaserJet CM3530 MFP', 'HP LaserJet 3380', 'HP LaserJet M3035xs MFP', 'HP Color LaserJet CM3530fs MFP', 'HP LaserJet 3390', 'HP LaserJet Pro 300 color MFP M375nw', 'HP LaserJet 3020', 'HP LaserJet 3392', 'HP LaserJet Pro 400 color MFP M475dn', 'HP LaserJet 3030', 'HP LaserJet M1522n MFP', 'HP LaserJet Pro 400 color MFP M475dw'];E:\Projects\PycharmProjects\parser_profit\images\hp\Q2665-60125.jpg
Узел автоматической подачи оригиналов;Q2665-60125;CN | Q2665-60125 - Площадка отделения бумаги из автоподатчика документов, в сборе;['HP LaserJet 3052', 'HP LaserJet M1522nf MFP', 'HP Color LaserJet 2840', 'HP LaserJet 3055', 'HP LaserJet M2727nf', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet 3310', 'HP LaserJet M2727nfs', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet 3320', 'HP LaserJet M3027 MFP', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet 3320n', 'HP LaserJet M3027x MFP', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet 3330', 'HP LaserJet M3035 MFP', 'HP Color LaserJet CM3530 MFP', 'HP LaserJet 3380', 'HP LaserJet M3035xs MFP', 'HP Color LaserJet CM3530fs MFP', 'HP LaserJet 3390', 'HP LaserJet Pro 300 color MFP M375nw', 'HP LaserJet 3020', 'HP LaserJet 3392', 'HP LaserJet Pro 400 color MFP M475dn', 'HP LaserJet 3030', 'HP LaserJet M1522n MFP', 'HP LaserJet Pro 400 color MFP M475dw'];E:\Projects\PycharmProjects\parser_profit\images\hp\Q2665-60125.jpg
Подача и захват бумаги;5851-4012;5851-4012 - Узел захвата бумаги из кассеты, в сборе;['HP LaserJet M3035xs MFP', 'HP LaserJet P3005dn', 'HP LaserJet M3027x MFP', 'HP LaserJet P3005', 'HP LaserJet P3005n', 'HP LaserJet M3035 MFP', 'HP LaserJet P3005d', 'HP LaserJet P3005x'];E:\Projects\PycharmProjects\parser_profit\images\hp\5851-4012.jpg
Подача и захват бумаги;5851-4013;"5851-4013 - Комплект из ролика захвата и площадки отделения бумаги в кассете (лоток 2, 3)
---
Состав:
RM1-6323-000CN - Ролик захвата бумаги (1)
RM1-3738-000CN - Площадка отделения бумаги (1)
---";['HP LaserJet M3035xs MFP', 'HP LaserJet P3005n', 'HP LaserJet M3027 MFP', 'HP LaserJet P3005', 'HP LaserJet P3005x', 'HP LaserJet M3027x MFP', 'HP LaserJet P3005d', 'HP LaserJet M3035 MFP', 'HP LaserJet P3005dn'];E:\Projects\PycharmProjects\parser_profit\images\hp\5851-4013.jpg
Подача и захват бумаги;Q7817A;Q7817A - Дополнительный лоток для бумаги на 500 листов;['HP LaserJet M3035xs MFP', 'HP LaserJet P3005dn', 'HP LaserJet M3027x MFP', 'HP LaserJet P3005', 'HP LaserJet P3005n', 'HP LaserJet M3035 MFP', 'HP LaserJet P3005d', 'HP LaserJet P3005x'];E:\Projects\PycharmProjects\parser_profit\images\hp\Q7817A.jpg
