Подача и захват бумаги;JC73-00295A;JC73-00295A - Резиновый элемент на ролик захвата бумаги из обходного лотка (1 шт. / в узле 2 шт.);['Samsung ML-5010ND', 'Samsung ProXpress M4530ND', 'Samsung CLP-680ND', 'Samsung ML-5012ND', 'Samsung ProXpress M4530ND', 'Samsung CLX-6260FR', 'Samsung ML-5015ND', 'Samsung ProXpress M4530NX', 'Samsung CLX-6260FR', 'Samsung ML-5017ND', 'Samsung ProXpress M4530NX', 'Samsung CLX-6260FW', 'Samsung ProXpress C2620DW', 'Samsung ProXpress M4580FX', 'Samsung CLX-6260FW', 'Samsung ProXpress C2620DW', 'Samsung ProXpress M4580FX', 'Samsung ML-4510ND', 'Samsung ProXpress C2670FW', 'Samsung ProXpress M4583FX', 'Samsung ML-4512ND', 'Samsung ProXpress C2670FW', 'Samsung ProXpress M4583FX'];E:\Projects\PycharmProjects\parser_profit\images\samsung\JC73-00295A.jpg
Подача и захват бумаги;JC73-00328A;"JC73-00328A - Резиновый элемент на ролик отделения бумаги в лотке ручной подачи* (лоток 1)
* для Samsung ML-3310 / 3312 / 3710 / 3712 / SCX-4833 / 4835 / 5637 / 5639 / 5737 / 5739 / Xerox Phaser 3320 / 3330 / WorkCentre 3315 / 3325 / 3335 / 3345 в том числе и в кассете (лоток 2)";['Samsung ML-5015ND', 'Samsung SCX-5639FR', 'Samsung ML-3310ND', 'Samsung ML-5017ND', 'Samsung SCX-5737FW', 'Samsung ML-3312ND', 'Samsung ProXpress M4030ND', 'Samsung SCX-5739FW', 'Samsung ML-3710D', 'Samsung ProXpress M4080FX', 'Xerox Phaser 3320', 'Samsung ML-3710DW', 'Samsung ProXpress M4530ND', 'Xerox Phaser 3320DNI', 'Samsung ML-3710ND', 'Samsung ProXpress M4530NX', 'Xerox Phaser 3330', 'Samsung ML-3712DW', 'Samsung ProXpress M4580FX', 'Xerox WorkCentre 3315', 'Samsung ML-3712ND', 'Samsung ProXpress M4583FX', 'Xerox WorkCentre 3315DN', 'Samsung ML-4510ND', 'Samsung SCX-4833FD', 'Xerox WorkCentre 3325', 'Samsung ML-4512ND', 'Samsung SCX-4833FR', 'Xerox WorkCentre 3325DNI', 'Samsung ML-5010ND', 'Samsung SCX-4835FR', 'Xerox WorkCentre 3335', 'Samsung ML-5012ND', 'Samsung SCX-5637FR', 'Xerox WorkCentre 3345'];E:\Projects\PycharmProjects\parser_profit\images\samsung\JC73-00328A.jpg
Подача и захват бумаги;JC73-00328A;"CET | JC73-00328A - (CET3620) Резиновый элемент на ролик отделения бумаги в лотке ручной подачи*
* для Samsung ML-3310 / 3312 / 3710 / 3712 / SCX-4833 / 4835 / 5637 / 5639 / 5737 / 5739 / Xerox Phaser 3320 / 3330 / WorkCentre 3315 / 3325 / 3335 / 3345 в том числе и в кассете (лоток 2)";['Samsung ML-5015ND', 'Samsung SCX-5639FR', 'Samsung ML-3310ND', 'Samsung ML-5017ND', 'Samsung SCX-5737FW', 'Samsung ML-3312ND', 'Samsung ProXpress M4030ND', 'Samsung SCX-5739FW', 'Samsung ML-3710D', 'Samsung ProXpress M4080FX', 'Xerox Phaser 3320', 'Samsung ML-3710DW', 'Samsung ProXpress M4530ND', 'Xerox Phaser 3320DNI', 'Samsung ML-3710ND', 'Samsung ProXpress M4530NX', 'Xerox Phaser 3330', 'Samsung ML-3712DW', 'Samsung ProXpress M4580FX', 'Xerox WorkCentre 3315', 'Samsung ML-3712ND', 'Samsung ProXpress M4583FX', 'Xerox WorkCentre 3315DN', 'Samsung ML-4510ND', 'Samsung SCX-4833FD', 'Xerox WorkCentre 3325', 'Samsung ML-4512ND', 'Samsung SCX-4833FR', 'Xerox WorkCentre 3325DNI', 'Samsung ML-5010ND', 'Samsung SCX-4835FR', 'Xerox WorkCentre 3335', 'Samsung ML-5012ND', 'Samsung SCX-5637FR', 'Xerox WorkCentre 3345'];E:\Projects\PycharmProjects\parser_profit\images\samsung\JC73-00328A.jpg
Подача и захват бумаги;JC90-01080A;JC90-01080A - Узел захвата бумаги из обходного лотка, в сборе;['Samsung ML-5015ND', 'Samsung ProXpress M4580FX', 'Samsung ML-4512ND', 'Samsung ML-5017ND', 'Samsung ProXpress M4583FX', 'Samsung ML-5010ND', 'Samsung ProXpress M4530ND', 'Samsung ML-5012ND', 'Samsung ProXpress M4530NX'];
Подача и захват бумаги;JC97-02259A;JC97-02259A - Ролик захвата бумаги, в сборе;['Samsung ProXpress M3320ND', 'Xerox Phaser 4620DN', 'Samsung CLX-8385ND', 'Samsung ProXpress M3370FD', 'Xerox Phaser 4620DT', 'Samsung CLX-8540ND', 'Samsung ProXpress M3820D', 'Xerox Phaser 4622A', 'Samsung ML-4510ND', 'Samsung ProXpress M3820DW', 'Xerox Phaser 4622DN', 'Samsung ML-4512ND', 'Samsung ProXpress M3820ND', 'Xerox Phaser 4622DT', 'Samsung ML-5010ND', 'Samsung ProXpress M3870FD', 'Xerox WorkCentre 4150', 'Samsung ML-5012ND', 'Samsung ProXpress M3870FW', 'Xerox WorkCentre 4150p', 'Samsung ML-5015ND', 'Samsung ProXpress M4020ND', 'Xerox WorkCentre 4150px', 'Samsung ML-5017ND', 'Samsung ProXpress M4070FR', 'Xerox WorkCentre 4150pxf', 'Samsung ML-5510N', 'Samsung ProXpress M4530ND', 'Xerox WorkCentre 4150s', 'Samsung ML-5510ND', 'Samsung ProXpress M4530NX', 'Xerox WorkCentre 4150u', 'Samsung ML-5512ND', 'Samsung ProXpress M4580FX', 'Xerox WorkCentre 4150x', 'Samsung ML-5515ND', 'Samsung ProXpress M4583FX', 'Xerox WorkCentre 4150xf', 'Samsung ML-6510ND', 'Samsung SCX-6345N', 'Xerox WorkCentre 4250', 'Samsung ML-6512ND', 'Samsung SCX-6345NJ', 'Xerox WorkCentre 4250S', 'Samsung ML-6515ND', 'Samsung SCX-6545N', 'Xerox WorkCentre 4250X', 'Samsung MultiXpress M4370LX', 'Samsung SCX-6555N', 'Xerox WorkCentre 4250XF', 'Samsung MultiXpress M5370LX', 'Xerox Phaser 4600DN', 'Xerox WorkCentre 4260S', 'Samsung MultiXpress SCX-6545N', 'Xerox Phaser 4600DT', 'Xerox WorkCentre 4260X', 'Samsung MultiXpress SCX-6555N', 'Xerox Phaser 4600N', 'Xerox WorkCentre 4260XF'];E:\Projects\PycharmProjects\parser_profit\images\samsung\JC97-02259A.jpg
Подача и захват бумаги;022N02232;Xerox | 022N02232 - Ролик захвата бумаги, в сборе;['Samsung ProXpress M3320ND', 'Xerox Phaser 4620DN', 'Samsung CLX-8385ND', 'Samsung ProXpress M3370FD', 'Xerox Phaser 4620DT', 'Samsung CLX-8540ND', 'Samsung ProXpress M3820D', 'Xerox Phaser 4622A', 'Samsung ML-4510ND', 'Samsung ProXpress M3820DW', 'Xerox Phaser 4622DN', 'Samsung ML-4512ND', 'Samsung ProXpress M3820ND', 'Xerox Phaser 4622DT', 'Samsung ML-5010ND', 'Samsung ProXpress M3870FD', 'Xerox WorkCentre 4150', 'Samsung ML-5012ND', 'Samsung ProXpress M3870FW', 'Xerox WorkCentre 4150p', 'Samsung ML-5015ND', 'Samsung ProXpress M4020ND', 'Xerox WorkCentre 4150px', 'Samsung ML-5017ND', 'Samsung ProXpress M4070FR', 'Xerox WorkCentre 4150pxf', 'Samsung ML-5510N', 'Samsung ProXpress M4530ND', 'Xerox WorkCentre 4150s', 'Samsung ML-5510ND', 'Samsung ProXpress M4530NX', 'Xerox WorkCentre 4150u', 'Samsung ML-5512ND', 'Samsung ProXpress M4580FX', 'Xerox WorkCentre 4150x', 'Samsung ML-5515ND', 'Samsung ProXpress M4583FX', 'Xerox WorkCentre 4150xf', 'Samsung ML-6510ND', 'Samsung SCX-6345N', 'Xerox WorkCentre 4250', 'Samsung ML-6512ND', 'Samsung SCX-6345NJ', 'Xerox WorkCentre 4250S', 'Samsung ML-6515ND', 'Samsung SCX-6545N', 'Xerox WorkCentre 4250X', 'Samsung MultiXpress M4370LX', 'Samsung SCX-6555N', 'Xerox WorkCentre 4250XF', 'Samsung MultiXpress M5370LX', 'Xerox Phaser 4600DN', 'Xerox WorkCentre 4260S', 'Samsung MultiXpress SCX-6545N', 'Xerox Phaser 4600DT', 'Xerox WorkCentre 4260X', 'Samsung MultiXpress SCX-6555N', 'Xerox Phaser 4600N', 'Xerox WorkCentre 4260XF'];E:\Projects\PycharmProjects\parser_profit\images\samsung\022N02232.jpg
Подача и захват бумаги;CET7911;CET7911 - Резина ролика захвата бумаги;['Samsung ProXpress M3320ND', 'Xerox Phaser 4620DN', 'Samsung CLX-8385ND', 'Samsung ProXpress M3370FD', 'Xerox Phaser 4620DT', 'Samsung CLX-8540ND', 'Samsung ProXpress M3820D', 'Xerox Phaser 4622A', 'Samsung ML-4510ND', 'Samsung ProXpress M3820DW', 'Xerox Phaser 4622DN', 'Samsung ML-4512ND', 'Samsung ProXpress M3820ND', 'Xerox Phaser 4622DT', 'Samsung ML-5010ND', 'Samsung ProXpress M3870FD', 'Xerox WorkCentre 4150', 'Samsung ML-5012ND', 'Samsung ProXpress M3870FW', 'Xerox WorkCentre 4150p', 'Samsung ML-5015ND', 'Samsung ProXpress M4020ND', 'Xerox WorkCentre 4150px', 'Samsung ML-5017ND', 'Samsung ProXpress M4070FR', 'Xerox WorkCentre 4150pxf', 'Samsung ML-5510N', 'Samsung ProXpress M4530ND', 'Xerox WorkCentre 4150s', 'Samsung ML-5510ND', 'Samsung ProXpress M4530NX', 'Xerox WorkCentre 4150u', 'Samsung ML-5512ND', 'Samsung ProXpress M4580FX', 'Xerox WorkCentre 4150x', 'Samsung ML-5515ND', 'Samsung ProXpress M4583FX', 'Xerox WorkCentre 4150xf', 'Samsung ML-6510ND', 'Samsung SCX-6345N', 'Xerox WorkCentre 4250', 'Samsung ML-6512ND', 'Samsung SCX-6345NJ', 'Xerox WorkCentre 4250S', 'Samsung ML-6515ND', 'Samsung SCX-6545N', 'Xerox WorkCentre 4250X', 'Samsung MultiXpress M4370LX', 'Samsung SCX-6555N', 'Xerox WorkCentre 4250XF', 'Samsung MultiXpress M5370LX', 'Xerox Phaser 4600DN', 'Xerox WorkCentre 4260S', 'Samsung MultiXpress SCX-6545N', 'Xerox Phaser 4600DT', 'Xerox WorkCentre 4260X', 'Samsung MultiXpress SCX-6555N', 'Xerox Phaser 4600N', 'Xerox WorkCentre 4260XF'];E:\Projects\PycharmProjects\parser_profit\images\samsung\CET7911.jpg
Внутренние компоненты;6107-001159;6107-001159 - Торсионная пружина в узле выхода бумаги;['Samsung ML-3471ND', 'Samsung ProXpress M4530ND', 'Dell 2335dn', 'Samsung ML-3560', 'Samsung ProXpress M4530NX', 'Dell 2355dn', 'Samsung ML-3561N', 'Samsung ProXpress M4583FX', 'Samsung ML-2550', 'Samsung ML-3561ND', 'Samsung SCX-5330N', 'Samsung ML-2551N', 'Samsung ML-4510ND', 'Samsung SCX-5530FN', 'Samsung ML-2552W', 'Samsung ML-4512ND', 'Samsung SCX-5530N', 'Samsung ML-3050', 'Samsung ML-5010ND', 'Samsung SCX-5635FN', 'Samsung ML-3051N', 'Samsung ML-5012ND', 'Samsung SCX-5835FN', 'Samsung ML-3051ND', 'Samsung ML-5015ND', 'Samsung SCX-5935FN', 'Samsung ML-3470D', 'Samsung ML-5017ND', 'Xerox Phaser 3420'];
Узел переноса;JC93-00393A;JC93-00393A - Вал переноса заряда;['Samsung ML-5015ND', 'Samsung ProXpress M4580FX', 'Samsung ML-4512ND', 'Samsung ML-5017ND', 'Samsung ProXpress M4583FX', 'Samsung ML-5010ND', 'Samsung ProXpress M4530ND', 'Samsung ML-5012ND', 'Samsung ProXpress M4530NX'];E:\Projects\PycharmProjects\parser_profit\images\samsung\JC93-00393A.jpg
Электронные компоненты;JC31-00078A;JC31-00078A - Мотор;['Samsung ML-5017ND', 'Samsung MultiXpress M4370LX', 'HP LaserJet MFP M436dn', 'Samsung ML-5510N', 'Samsung MultiXpress M5370LX', 'HP LaserJet MFP M436n', 'Samsung ML-5510ND', 'Samsung MultiXpress SCX-6545N', 'HP LaserJet MFP M436nda', 'Samsung ML-5512ND', 'Samsung MultiXpress SCX-6555N', 'Samsung CLX-8380ND', 'Samsung ML-5515ND', 'Samsung ProXpress M4530ND', 'Samsung CLX-8385ND', 'Samsung ML-6510ND', 'Samsung ProXpress M4530NX', 'Samsung CLX-8540ND', 'Samsung ML-6512ND', 'Samsung ProXpress M4580FX', 'Samsung ML-4510ND', 'Samsung ML-6515ND', 'Samsung ProXpress M4583FX', 'Samsung ML-4512ND', 'Samsung MultiXpress CLX-8640ND', 'Samsung SCX-6545N', 'Samsung ML-5010ND', 'Samsung MultiXpress CLX-8650ND', 'Samsung SCX-6555N', 'Samsung ML-5012ND', 'Samsung MultiXpress K2200', 'Samsung ML-5015ND', 'Samsung MultiXpress K2200ND'];
